
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 03-Jun-2026 at 09:40:21.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    1.8250   1.1207983E+06   1.0611788E+06   1.1207983E+06   9.2307674E+05   8.6294653E+05   9.2307674E+05
    1.8375   1.1207454E+06   1.0613924E+06   1.1207454E+06   9.2306405E+05   8.6308059E+05   9.2306405E+05
    1.8500   1.1206929E+06   1.0616042E+06   1.1206929E+06   9.2304846E+05   8.6322542E+05   9.2304846E+05
    1.8625   1.1206409E+06   1.0618132E+06   1.1206409E+06   9.2302988E+05   8.6338127E+05   9.2302988E+05
    1.8750   1.1205897E+06   1.0620188E+06   1.1205897E+06   9.2300827E+05   8.6354829E+05   9.2300827E+05
    1.8875   1.1205396E+06   1.0622202E+06   1.1205396E+06   9.2298361E+05   8.6372650E+05   9.2298361E+05
    1.9000   1.1204908E+06   1.0624169E+06   1.1204908E+06   9.2295591E+05   8.6391581E+05   9.2295591E+05
    1.9125   1.1204433E+06   1.0626084E+06   1.1204433E+06   9.2292521E+05   8.6411602E+05   9.2292521E+05
    1.9250   1.1203974E+06   1.0627944E+06   1.1203974E+06   9.2289161E+05   8.6432679E+05   9.2289161E+05
    1.9375   1.1203531E+06   1.0629748E+06   1.1203531E+06   9.2285521E+05   8.6454769E+05   9.2285521E+05
    1.9500   1.1203105E+06   1.0631495E+06   1.1203105E+06   9.2281615E+05   8.6477816E+05   9.2281615E+05
    1.9625   1.1202696E+06   1.0633185E+06   1.1202696E+06   9.2277461E+05   8.6501756E+05   9.2277461E+05
    1.9750   1.1202303E+06   1.0634821E+06   1.1202303E+06   9.2273078E+05   8.6526515E+05   9.2273078E+05
    1.9875   1.1201927E+06   1.0636405E+06   1.1201927E+06   9.2268491E+05   8.6552008E+05   9.2268491E+05
    2.0000   1.1201567E+06   1.0637941E+06   1.1201567E+06   9.2263722E+05   8.6578146E+05   9.2263722E+05
    2.0125   1.1201222E+06   1.0639433E+06   1.1201222E+06   9.2258801E+05   8.6604831E+05   9.2258801E+05
    2.0250   1.1200890E+06   1.0640886E+06   1.1200890E+06   9.2253754E+05   8.6631960E+05   9.2253754E+05
    2.0375   1.1200570E+06   1.0642307E+06   1.1200570E+06   9.2248614E+05   8.6659424E+05   9.2248614E+05
    2.0500   1.1200262E+06   1.0643701E+06   1.1200262E+06   9.2243411E+05   8.6687114E+05   9.2243411E+05
    2.0625   1.1199963E+06   1.0645073E+06   1.1199963E+06   9.2238177E+05   8.6714916E+05   9.2238177E+05
    2.0750   1.1199671E+06   1.0646432E+06   1.1199671E+06   9.2232947E+05   8.6742717E+05   9.2232947E+05
    2.0875   1.1199386E+06   1.0647783E+06   1.1199386E+06   9.2227752E+05   8.6770403E+05   9.2227752E+05
    2.1000   1.1199106E+06   1.0649131E+06   1.1199106E+06   9.2222625E+05   8.6797863E+05   9.2222625E+05
    2.1125   1.1198829E+06   1.0650484E+06   1.1198829E+06   9.2217598E+05   8.6824989E+05   9.2217598E+05
    2.1250   1.1198554E+06   1.0651846E+06   1.1198554E+06   9.2212704E+05   8.6851675E+05   9.2212704E+05
    2.1375   1.1198279E+06   1.0653223E+06   1.1198279E+06   9.2207971E+05   8.6877824E+05   9.2207971E+05
    2.1500   1.1198004E+06   1.0654618E+06   1.1198004E+06   9.2203428E+05   8.6903342E+05   9.2203428E+05
    2.1625   1.1197727E+06   1.0656035E+06   1.1197727E+06   9.2199101E+05   8.6928144E+05   9.2199101E+05
    2.1750   1.1197447E+06   1.0657477E+06   1.1197447E+06   9.2195017E+05   8.6952152E+05   9.2195017E+05
    2.1875   1.1197165E+06   1.0658947E+06   1.1197165E+06   9.2191195E+05   8.6975297E+05   9.2191195E+05
    2.2000   1.1196879E+06   1.0660444E+06   1.1196879E+06   9.2187657E+05   8.6997519E+05   9.2187657E+05
    2.2125   1.1196591E+06   1.0661970E+06   1.1196591E+06   9.2184419E+05   8.7018769E+05   9.2184419E+05
    2.2250   1.1196298E+06   1.0663524E+06   1.1196298E+06   9.2181495E+05   8.7039006E+05   9.2181495E+05
    2.2375   1.1196003E+06   1.0665104E+06   1.1196003E+06   9.2178898E+05   8.7058201E+05   9.2178898E+05
    2.2500   1.1195706E+06   1.0666709E+06   1.1195706E+06   9.2176635E+05   8.7076335E+05   9.2176635E+05
    2.2625   1.1195408E+06   1.0668334E+06   1.1195408E+06   9.2174713E+05   8.7093396E+05   9.2174713E+05
    2.2750   1.1195109E+06   1.0669975E+06   1.1195109E+06   9.2173135E+05   8.7109386E+05   9.2173135E+05
    2.2875   1.1194812E+06   1.0671629E+06   1.1194812E+06   9.2171901E+05   8.7124312E+05   9.2171901E+05
    2.3000   1.1194517E+06   1.0673288E+06   1.1194517E+06   9.2171010E+05   8.7138192E+05   9.2171010E+05
    2.3125   1.1194226E+06   1.0674948E+06   1.1194226E+06   9.2170456E+05   8.7151052E+05   9.2170456E+05
    2.3250   1.1193942E+06   1.0676601E+06   1.1193942E+06   9.2170234E+05   8.7162922E+05   9.2170234E+05
